"EntityType"	"totalSameAs"
"http://dbpedia.org/class/yago/Mayor110303814"	83848
"http://dbpedia.org/class/yago/CivilAuthority110541833"	83848
"http://dbpedia.org/class/yago/Morpheme106306233"	83277
"http://www.wikidata.org/entity/Q11774891"	83157
"http://dbpedia.org/ontology/Island"	82984
"http://dbpedia.org/class/yago/Ending106308765"	82610
"http://dbpedia.org/class/yago/Seat108647945"	82392
"http://dbpedia.org/class/yago/Instrument103574816"	81768
"http://umbel.org/umbel/rc/Animal"	81747
"http://schema.org/RadioStation"	81714
"http://dbpedia.org/class/yago/SeniorHighSchool108409617"	81639
"http://dbpedia.org/class/yago/Substance100020090"	81171
"http://dbpedia.org/class/yago/Cricketer109977326"	81103
"http://dbpedia.org/class/yago/Writing106359877"	80917
"http://dbpedia.org/class/yago/Language106282651"	80886
"http://umbel.org/umbel/rc/Actor"	80109
"http://dbpedia.org/class/yago/Engineer109615807"	80001
"http://umbel.org/umbel/rc/Business"	79541
"http://dbpedia.org/class/yago/Rider110529965"	79473
